condition,phase,precision,recall,jaccard
CRF18,Preparation,97.70236832803111,77.46636771300447,76.08037434627029
CRF18,CalotTriangleDissection,95.71887398450784,83.76430130282388,80.7394422310757
CRF18,ClippingCutting,70.64085881587509,79.68807339449542,59.86216402481047
CRF18,GallbladderDissection,85.26438836553667,92.57531076187988,79.80691874497184
CRF18,GallbladderPackaging,73.7489516354487,87.46684350132627,66.70037926675096
CRF18,CleaningCoagulation,73.11776061776062,87.01895462377944,65.92689295039165
CRF18,GallbladderRetraction,76.39573070607554,75.3746456055083,61.13666228646518
CRF23,Preparation,98.24497257769652,75.30829596412556,74.30862831858407
CRF23,CalotTriangleDissection,94.56304553580817,89.2004497057073,84.8488661026012
CRF23,ClippingCutting,77.18603814321699,78.71559633027523,63.85829115808276
CRF23,GallbladderDissection,87.1930514351074,91.05976333569748,80.31739760305544
CRF23,GallbladderPackaging,76.37818612922347,85.44429708222812,67.58457907159718
CRF23,CleaningCoagulation,70.90540751129811,87.11468504690791,64.17489421720734
CRF23,GallbladderRetraction,85.66159520516366,75.25313892264074,66.83453237410072
CRF28,Preparation,92.81218946671082,78.53139013452915,74.02906208718626
CRF28,CalotTriangleDissection,94.58800585080449,89.80887507439984,85.41954962888414
CRF28,ClippingCutting,79.76045473000406,72.09174311926606,60.94307429812316
CRF28,GallbladderDissection,88.07081285174895,92.29534510433388,82.03928595129074
CRF28,GallbladderPackaging,73.568281938326,88.59416445623343,67.20321931589537
CRF28,CleaningCoagulation,75.3755364806867,80.7007466973004,63.86363636363637
CRF28,GallbladderRetraction,75.07142857142857,85.13568246253544,66.37196084622671
CRF35,Preparation,98.87843704775688,76.597533632287,75.93776048902473
CRF35,CalotTriangleDissection,94.71874667706376,88.36386482375505,84.21467288541535
CRF35,ClippingCutting,77.59336099585063,72.05504587155963,59.6445929526124
CRF35,GallbladderDissection,85.30250347705146,91.57863302101609,79.09788496259995
CRF35,GallbladderPackaging,68.1646048977531,89.52254641909815,63.128361000701425
CRF35,CleaningCoagulation,74.33164424253013,81.44744399770248,63.56843992827257
CRF35,GallbladderRetraction,80.17582417582418,73.8760631834751,62.465753424657535
CRF51,Preparation,94.0131324835844,68.21748878923766,65.37738383024443
CRF51,CalotTriangleDissection,94.01975868491375,76.7839428609219,73.20848702670324
CRF51,ClippingCutting,76.2989095574086,43.65137614678899,38.439166262724186
CRF51,GallbladderDissection,73.39753419616022,89.33517488521409,67.48442038180639
CRF51,GallbladderPackaging,59.65119019561631,83.91909814323607,53.532148900169204
CRF51,CleaningCoagulation,61.31616595135908,82.06011870572468,54.06837391194651
CRF51,GallbladderRetraction,76.4424990051731,77.80477926285946,62.757268866383534
Original,Preparation,97.88786482334869,71.44058295964125,70.35605851504279
Original,CalotTriangleDissection,94.4653371320038,82.23001124264269,78.45042430360579
Original,ClippingCutting,70.1227604512276,77.55963302752293,58.295407529995856
Original,GallbladderDissection,83.37024360781156,92.74702303184142,78.26744369192
Original,GallbladderPackaging,73.77801782338645,90.58355437665783,68.52269877100576
Original,CleaningCoagulation,73.49958437240232,84.64484013019337,64.85257444623734
Original,GallbladderRetraction,83.59649122807018,77.19724584852166,67.04185719310587
