train_condition,test_condition,phase,precision,recall,f1,jaccard
Original,Original,Preparation,97.88786482334869,71.44058295964125,82.59883344134802,70.35605851504279
Original,Original,CalotTriangleDissection,94.4653371320038,82.23001124264269,87.92405466084467,78.45042430360579
Original,Original,ClippingCutting,70.1227604512276,77.55963302752293,73.65394668060638,58.295407529995856
Original,Original,GallbladderDissection,83.37024360781156,92.74702303184142,87.80901556784649,78.26744369192
Original,Original,GallbladderPackaging,73.77801782338645,90.58355437665783,81.32162524185146,68.52269877100576
Original,Original,CleaningCoagulation,73.49958437240232,84.64484013019337,78.67948033457911,64.85257444623734
Original,Original,GallbladderRetraction,83.59649122807018,77.19724584852166,80.2695304274584,67.04185719310587
Original,CRF18,Preparation,99.53343701399689,53.81165919282511,69.85628524649809,53.67626502655857
Original,CRF18,CalotTriangleDissection,87.05722929534855,91.3464717941935,89.15028883080002,80.42446650557513
Original,CRF18,ClippingCutting,76.76687238701972,70.75229357798165,73.636971259429,58.27414236058637
Original,CRF18,GallbladderDissection,88.40612764663398,86.81548396730001,87.60358595751093,77.94162002748082
Original,CRF18,GallbladderPackaging,66.66666666666666,86.73740053050398,75.38904899135449,60.49953746530989
Original,CRF18,CleaningCoagulation,73.80394780863165,84.47252536856212,78.77868047495758,64.98747974664899
Original,CRF18,GallbladderRetraction,90.28969957081546,68.16524908869988,77.6828986845142,63.50943396226415
Original,CRF23,Preparation,98.00697558545092,55.12892376681614,70.56502242152466,54.51773835920177
Original,CRF23,CalotTriangleDissection,88.54743271616721,92.03756365319754,90.25877164537259,82.24691212103303
Original,CRF23,ClippingCutting,79.98411437648927,73.90825688073394,76.82624451649819,62.37225147104367
Original,CRF23,GallbladderDissection,86.79981048872042,88.9058942103102,87.84023013941137,78.31705632830226
Original,CRF23,GallbladderPackaging,73.9251814628699,87.79840848806366,80.2667474992422,67.0379746835443
Original,CRF23,CleaningCoagulation,74.82095740670938,76.00995596400536,75.41077025358534,60.52751943893886
Original,CRF23,GallbladderRetraction,89.75934459805428,71.00040502227623,79.28539122568974,65.68002997377295
Original,CRF28,Preparation,96.58222758343385,67.32062780269058,79.33938893476466,65.7541746509718
Original,CRF28,CalotTriangleDissection,90.13538401886976,92.24257654917002,91.17680704678793,83.78435200480553
Original,CRF28,ClippingCutting,85.28138528138528,65.06422018348624,73.8134887593672,58.49554602441438
Original,CRF28,GallbladderDissection,87.70953783498781,90.04068834223003,88.85982685577454,79.95293181742849
Original,CRF28,GallbladderPackaging,68.51898415891375,90.35145888594165,77.93507793507793,63.84723523898782
Original,CRF28,CleaningCoagulation,77.67633369137128,83.07486119088647,80.28494772874456,67.06336939721793
Original,CRF28,GallbladderRetraction,86.80323963792283,73.79505872823006,79.7723292469352,66.3510560815732
Original,CRF35,Preparation,99.09990999099911,61.715246636771305,76.06217616580311,61.37123745819398
Original,CRF35,CalotTriangleDissection,87.67237242041274,90.60908670061504,89.11654227035466,80.3695556533216
