train_condition,test_condition,videos,frames_total,mean_video_accuracy,std_video_accuracy,mean_video_precision,mean_video_recall,mean_video_f1,mean_video_jaccard,phase_prec_Preparation,phase_rec_Preparation,phase_f1_Preparation,phase_jac_Preparation,phase_prec_CalotTriangleDissection,phase_rec_CalotTriangleDissection,phase_f1_CalotTriangleDissection,phase_jac_CalotTriangleDissection,phase_prec_ClippingCutting,phase_rec_ClippingCutting,phase_f1_ClippingCutting,phase_jac_ClippingCutting,phase_prec_GallbladderDissection,phase_rec_GallbladderDissection,phase_f1_GallbladderDissection,phase_jac_GallbladderDissection,phase_prec_GallbladderPackaging,phase_rec_GallbladderPackaging,phase_f1_GallbladderPackaging,phase_jac_GallbladderPackaging,phase_prec_CleaningCoagulation,phase_rec_CleaningCoagulation,phase_f1_CleaningCoagulation,phase_jac_CleaningCoagulation,phase_prec_GallbladderRetraction,phase_rec_GallbladderRetraction,phase_f1_GallbladderRetraction,phase_jac_GallbladderRetraction
Original,Original,32,76757,0.8675860041138326,0.0853283739571089,0.8323098383117755,0.8164910512535657,0.7965019791595958,0.7020530871674466,0.9788786482334869,0.7144058295964125,0.8259883344134802,0.7035605851504279,0.944653371320038,0.8223001124264269,0.8792405466084467,0.7845042430360579,0.7012276045122761,0.7755963302752293,0.7365394668060637,0.5829540752999586,0.8337024360781156,0.9274702303184142,0.8780901556784648,0.7826744369191999,0.7377801782338644,0.9058355437665783,0.8132162524185147,0.6852269877100576,0.7349958437240233,0.8464484013019338,0.7867948033457911,0.6485257444623734,0.8359649122807018,0.7719724584852167,0.802695304274584,0.6704185719310587
Original,CRF18,32,76757,0.8636215150070008,0.07449326899251095,0.835128847875781,0.7621247151739229,0.7576352386536956,0.6545258440051197,0.995334370139969,0.5381165919282511,0.698562852464981,0.5367626502655857,0.8705722929534855,0.9134647179419351,0.8915028883080002,0.8042446650557512,0.7676687238701971,0.7075229357798165,0.7363697125942901,0.5827414236058637,0.8840612764663398,0.8681548396730001,0.8760358595751093,0.7794162002748082,0.6666666666666666,0.8673740053050398,0.7538904899135448,0.6049953746530989,0.7380394780863165,0.8447252536856212,0.7877868047495759,0.6498747974664899,0.9028969957081545,0.6816524908869988,0.776828986845142,0.6350943396226415
Original,CRF23,32,76757,0.8681903650996052,0.061910726740420446,0.8268922757122135,0.765949176369356,0.759856551370573,0.6605010574205956,0.9800697558545092,0.5512892376681614,0.7056502242152466,0.5451773835920177,0.8854743271616721,0.9203756365319754,0.9025877164537259,0.8224691212103303,0.7998411437648928,0.7390825688073395,0.7682624451649819,0.6237225147104367,0.8679981048872043,0.889058942103102,0.8784023013941137,0.7831705632830226,0.739251814628699,0.8779840848806366,0.802667474992422,0.670379746835443,0.7482095740670939,0.7600995596400536,0.7541077025358534,0.6052751943893886,0.8975934459805428,0.7100040502227623,0.7928539122568974,0.6568002997377295
Original,CRF28,32,76757,0.8779841803647679,0.07099100627405622,0.8364679718262593,0.7888810805897568,0.780662110401661,0.6847712670026611,0.9658222758343386,0.6732062780269058,0.7933938893476465,0.6575417465097181,0.9013538401886976,0.9224257654917003,0.9117680704678793,0.8378435200480553,0.8528138528138528,0.6506422018348624,0.7381348875936721,0.5849554602441438,0.8770953783498782,0.9004068834223002,0.8885982685577455,0.7995293181742849,0.6851898415891375,0.9035145888594165,0.7793507793507793,0.6384723523898782,0.7767633369137128,0.8307486119088646,0.8028494772874456,0.6706336939721793,0.8680323963792282,0.7379505872823006,0.797723292469352,0.663510560815732
Original,CRF35,32,76757,0.8590997812147249,0.07392221392412283,0.827406548918696,0.7674707675927114,0.7594685449138087,0.6559872334163015,0.990999099909991,0.617152466367713,0.7606217616580311,0.6137123745819398,0.8767237242041274,0.9060908670061504,0.8911654227035466,0.803695556533216,0.7881804702393561,0.6827522935779816,0.7316881329269492,0.5768992248062016,0.8602809324566647,0.859606554929262,0.8599436114793585,0.7542991909332111,0.6768831168831169,0.8640583554376657,0.7591028255170404,0.611737089201878,0.7215317433658045,0.8225157955198162,0.7687214816140289,0.6243278593227729,0.8681429290387519,0.6986634264884569,0.7742369838420109,0.631636763090443
Original,CRF51,32,76757,0.8131974939294357,0.08596422780556841,0.7740600366597328,0.6777336836706876,0.6722040925601983,0.564244751406874,0.9626604434072346,0.4624439461883408,0.6247633472169632,0.45429515418502203,0.8384837635826895,0.8828450499305601,0.8600927775272212,0.754528755122227,0.7811009969657564,0.33064220183486237,0.4646126079669975,0.3026028547439127,0.7925461969686484,0.8549404606368286,0.8225618187368686,0.6986029770619815,0.6596800882515168,0.7931034482758621,0.720264980427582,0.5628235294117647,0.6590770171149144,0.8257706299061842,0.7330670519248745,0.578615508451838,0.8707557502738226,0.6439854191980559,0.740395809080326,0.5878003696857671
CRF18,Original,32,76757,0.8416452631842237,0.10836462047556329,0.8208766210350296,0.8065208473775233,0.786165428696064,0.6892009078143179,0.97003367003367,0.8074551569506726,0.8813092688895685,0.7878042111019962,0.96260493513101,0.7507439984128034,0.8435758341383667,0.7294692198946151,0.7434535799304157,0.744954128440367,0.7442030977912198,0.5926142169026419,0.7667408030776629,0.9522938519541603,0.8495030052779673,0.7383791606367583,0.74817023583627,0.9151193633952255,0.8232662192393736,0.6996197718631179,0.766939687267312,0.7888186865785947,0.7777253421425201,0.6362934362934363,0.777731616119651,0.7582017010935601,0.7678424938474158,0.6231691078561917
CRF18,CRF18,32,76757,0.8755481610610749,0.07563104510944531,0.8274773899338181,0.8257571798423636,0.800027680532018,0.7060389607917339,0.9770236832803111,0.7746636771300448,0.8641550726903237,0.760803743462703,0.9571887398450784,0.8376430130282388,0.8934346729680638,0.807394422310757,0.7064085881587508,0.7968807339449542,0.7489222279703397,0.5986216402481047,0.8526438836553668,0.9257531076187988,0.8876957494407158,0.7980691874497184,0.737489516354487,0.8746684350132626,0.8002426816320339,0.6670037926675095,0.7311776061776062,0.8701895462377943,0.7946498819826908,0.6592689295039165,0.7639573070607554,0.7537464560550831,0.7588175331294597,0.6113666228646518
CRF18,CRF23,32,76757,0.8658297737665752,0.08719401281115519,0.831677988621593,0.7966004580899131,0.7830198332268609,0.6873390431449885,0.9818683484430429,0.6981502242152466,0.816052416052416,0.6892639734366353,0.9516429249762584,0.8283843661133523,0.8857461063871163,0.7949230525146755,0.7676675210545588,0.7693577981651376,0.7685117302052786,0.6240511980949546,0.8096550839851263,0.942849677106275,0.8711908252134173,0.7717786537110032,0.7361633530360021,0.9084880636604774,0.8132977144553278,0.6853426713356678,0.7581687612208259,0.8085391537430595,0.7825442416380989,0.6427701674277017,0.897172236503856,0.7067638720129608,0.790666062528319,0.6538029224428625
CRF18,CRF28,32,76757,0.8770179759896898,0.07813253698938663,0.8426647746071857,0.809957829939725,0.7994629738161942,0.7054652568280705,0.9480181936322287,0.8178251121076233,0.8781221787541379,0.782725321888412,0.9553173462997753,0.857549103895245,0.9037968948753244,0.824479415037355,0.8441376082377721,0.6618348623853211,0.7419520724056361,0.5897645519947678,0.8201177341010711,0.9516965918847288,0.8810214942290414,0.7873444303758377,0.752,0.9038461538461539,0.8209606986899562,0.6962962962962963,0.7689636263937123,0.8054757802029485,0.7867963343931177,0.6485278248805303,0.8535645472061657,0.7176994734710409,0.7797579757975798,0.6390191128741435
